,locality,population
0,Fairfax County,1175173
1,Prince William County,502428
2,Virginia Beach city,455837
3,Loudoun County,449596
4,Chesterfield County,394893
5,Henrico County,341663
6,Chesapeake city,256027
7,Arlington County,244433
8,Richmond city,236927
9,Norfolk city,230832
10,Newport News city,182863
11,Stafford County,172017
12,Alexandria city,161933
13,Spotsylvania County,154428
14,Hampton city,138035
15,Albemarle County,118769
16,Hanover County,116425
17,Suffolk city,105160
18,Frederick County,100040
19,Montgomery County,98862
20,Roanoke city,98321
21,Roanoke County,97405
22,Portsmouth city,96182
23,Rockingham County,88718
24,James City County,83248
25,Bedford County,82736
26,Lynchburg city,80827
27,Augusta County,78994
28,Fauquier County,76474
29,York County,71774
30,Pittsylvania County,59239
31,Culpeper County,57185
32,Franklin County,55803
33,Campbell County,55436
34,Washington County,54168
35,Harrisonburg city,50950
36,Henry County,49134
37,Shenandoah County,45697
38,Charlottesville city,44487
39,Manassas city,44145
40,Prince George County,44130
41,Louisa County,43210
42,Warren County,42940
43,Danville city,41878
44,Isle of Wight County,41217
45,Gloucester County,40284
46,Orange County,39485
47,Tazewell County,38528
48,Petersburg city,34788
49,Wise County,34755
50,Caroline County,34249
51,Botetourt County,34104
52,Pulaski County,33551
53,Accomack County,33534
54,Halifax County,33462
55,Powhatan County,32671
56,Amherst County,31741
57,Mecklenburg County,31026
58,Fredericksburg city,30758
59,Carroll County,29282
60,Goochland County,29230
61,King George County,29210
62,Smyth County,29087
63,Fluvanna County,29012
64,Dinwiddie County,28775
65,New Kent County,28225
66,Wythe County,28029
67,Winchester city,27846
68,Fairfax city,27254
69,Staunton city,26786
70,Salem city,26147
71,Russell County,25338
72,Waynesboro city,23913
73,Page County,23690
74,Hopewell city,23057
75,Prince Edward County,22554
76,Rockbridge County,22342
77,Greene County,22097
78,Lee County,21799
79,Scott County,21332
80,Westmoreland County,19552
81,King William County,19429
82,Colonial Heights city,18902
83,Buchanan County,18286
84,Southampton County,17882
85,Radford city,17552
86,Buckingham County,17242
87,Patrick County,17176
88,Appomattox County,17079
89,Manassas Park city,16774
90,Giles County,16605
91,Bristol city,15964
92,Williamsburg city,15944
93,Clarke County,15791
94,Brunswick County,15699
95,Nottoway County,15694
96,Floyd County,15623
97,Grayson County,15295
98,Falls Church city,15263
99,Nelson County,14907
100,Alleghany County,14566
101,Madison County,14369
102,Martinsville city,13915
103,Amelia County,13836
104,Dickenson County,13228
105,Poquoson city,13095
106,Northumberland County,12406
107,Lunenburg County,12078
108,Northampton County,11982
109,Lancaster County,11197
110,Charlotte County,11129
111,Greensville County,11126
112,Middlesex County,10960
113,Essex County,10748
114,Sussex County,10712
115,Cumberland County,10249
116,Richmond County,9268
117,Mathews County,8636
118,Franklin city,8430
119,Lexington city,8048
120,Rappahannock County,7503
121,King and Queen County,6748
122,Galax city,6679
123,Buena Vista city,6588
124,Surry County,6583
125,Charles City County,6493
126,Bland County,6151
127,Covington city,5715
128,Emporia city,5325
129,Craig County,4831
130,Bath County,4072
131,Norton city,3455
132,Highland County,2345
